index,종류별,상황별,재료별,방법별,글 제목,레시피이름,레시피이미지,조회수,조리시간,난이도,인분,재료,소개글,조리순서
6146,밑반찬,일상,해물류,조림,고구마순 고등어조림,고구마순고등어조림,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/17/6996f85fe24fac303f6d7cea5e775b0e.jpg,"8,855",60분 이내,초급,2인분,"[('생물 고등어', '2마리'), ('소주', '4큰술'), ('조림 간장', '4큰술'), ('고추가루', '3개'), ('매실액', '2큰술'), ('양파효소액', '')]",어제 저녁 무반쪽 잘라서 깔고 그위에 여름에 고구마순 까서 급냉해둔거 꺼내서 위에 덥고 그위에 생고등어를 깔았습니다. 고등어조림은 양념맛입니다.,"[{'step_number': 1, 'description': '생무 => 고구마순=> 생고등어 깔고, 생무는 양념장을 조금 넣고 살짝 익혀줍니다. 그런후 고구마순을 올려줘야합니다. 아주 살짝만 익힙니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/18/d5a2ee849833b8686782fd0cbd23d39e1.jpg'}, {'step_number': 2, 'description': '무와 고구마순과 고등어가 어느정도 살짝 졸여지면 저는 땡초를 3개정도 올립니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/18/afe6b992fec9d325a18fe40a2738cb511.jpg'}, {'step_number': 3, 'description': '양념을 끼얻으면서 마지막 피치를 올립니다. 맛이어 져라 맛이어 져라~~~', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/18/74f7cbddd0d7397247c973925f7d6de01.jpg'}]"
6147,밑반찬,일상,해물류,조림,양념장 얹은 꼬막 조림,꼬막조림,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/15/315054f1edc1833dbc1f1d56459982d41.jpg,"14,217",30분 이내,중급,2인분,"[('꼬막', ''), ('간장', '5'), ('고춧가루', '1'), ('올리고당', '2'), ('다진마늘', '1'), ('매실액', '1'), ('참기름', '약간'), ('쪽파', ''), ('깨소금', ''), ('생수', '적당량')]",밥 도둑인 꼬막 양념장입니다.,"[{'step_number': 1, 'description': '먼저 해감 하려고 소금물에 1시간 정도 담가 두었어요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/16/c88b0be2e5be7d4fb21bc0386135f5151.jpg'}, {'step_number': 2, 'description': '해감 하는 사이 꼬막에 얹을 양년장 만들어요. 쪽파는 넉넉하게 썰어 두었구요! 간장, 고춧가루, 올리고당, 다진마늘 약간, 매실액, 깨요렇게 넣었구요, 약간 짠 듯하여 물 좀 약간 부었어요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/16/8bbdba65da517e59488854f1220c03e81.jpg'}, {'step_number': 3, 'description': '해감 된 꼬막은 깨끗하게 씻어 주었답니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/16/7c5e24bfba2affbf831a61e85d0065d11.jpg'}, {'step_number': 4, 'description': '꼬막을 팔팔 끓는 물에 삶아주세요. 4~5개 입 벌리면 불을 끄고 건져 내 주어야 쫄깃하니 맛이 있다네요. 저는 4~5개 벌리고 한번 국자로 섞어준 뒤 꺼냈습니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/16/5a00f1ab20b0b8cc4e26b68d679b00b31.jpg'}, {'step_number': 5, 'description': '잘 익은 꼬막들 한쪽은 떼어 버리고 깨끗이 접시에 담아요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/16/29f136e992ddb5aa1eb9085f04024d221.jpg'}, {'step_number': 6, 'description': '준비된 양념장을 적당하게 올려주면 끝.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/16/397ffcdf7c09edd6711ed41bb7f11c821.jpg'}]"
6148,밑반찬,일상,해물류,조림,꽁치통조림 만드는 법,꽁치통조림,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/19/2917cfdddd4a77c8b0ae8f4540c966dd1.jpg,"8,473",30분 이내,아무나,2인분,"[('꽁치', '5마리'), ('양파', ''), ('대파', ''), ('생강', ''), ('마늘', ''), ('건고추', ''), ('통후추', ''), ('양조간장', '1T'), ('설탕', '1t'), ('들기름', '1t'), ('청주', '1컵'), ('다시마물', '1컵')]",집에서도 간단히 만들어 건강하게 즐길 수 있는 꽁치통조림 만드는 법을 알려드릴게요.,"[{'step_number': 1, 'description': '꽁치는 비늘벗기고 머리, 꼬리, 지느러미제거하고 배를 갈라 내장을 깨끗이 제거해 주어요. 내장쪽 검은 막과 핏물을 깨끗이 제거해주어야 비린내가 덜 나요.\n손질한 꽁치는 3등분해서 키친타월로 물기제거해 준비해 주시고.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/19/95a4ddca4191b39810aec4b0cb365d1c1.jpg'}, {'step_number': 2, 'description': '위의 부재료들을 준비해 주세요. 마늘은 통마늘이 없어 다진마늘 사용했어요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/19/9fd15b8aed582be132daeb5054b84eef1.jpg'}, {'step_number': 3, 'description': '꽁치통조림에서 중요한 도구. 압력밥솥 바닥에 꽁치를 깔고 부재료들을 그 위에 올려 간장, 설탕, 들기름, 청주를 넣어요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/19/0455a2fd675203fce266b2f0b82784231.jpg'}, {'step_number': 4, 'description': '다시마육수로 꽁치가 잠길 정도로 채워주시면 돼요. 저는 다시마육수1컵 넣었어요. 추가 흔들며 끓기 시작하면서 센불에서 5분, 중약불에서 15분 가열해줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/19/2c59040f57bb914d81e8e73a265491de1.jpg'}, {'step_number': 5, 'description': '추가 내려간 후 뚜껑을 여니 이런 비쥬얼이네요~', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/19/d344446b4217eaa85d8131b86ecdbc591.jpg'}, {'step_number': 6, 'description': '꽁치만 건져서 밀폐용기에 담고 육수는 고운 체에 걸러 조림이나 찌개에 같이 사용하시면 돼요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/19/c839b58c6abeaa44a36334d42d9423a91.jpg'}]"
6149,밑반찬,일상,해물류,조림,전복 장조림,전복장조림,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/14/c6b1bc7d8e26d7ce302f6154282ecbee.jpg,"22,354",60분 이내,초급,5인분,"[('전복                                                                                큰 것', '8개'), ('은행', '50g'), ('호두', '80g'), ('건고추', '2~3개'), ('밤', '3개'), ('무 다시마육수', '1.5컵'), ('생강', '1톨'), ('통마늘', '7개'), ('월계수잎', '3장'), ('진간장', '1/2컵'), ('청주', '1/2컵'), ('흑설탕', '3큰술'), ('통후추', '1작은술'), ('소금', '1작은술')]","중국 진나라의 진시황이 불로장생의 보약으로 널리 구한 것 중 하나가 바로 전복이라고 합니다. 전복은 영양가가 높고 귀한 것으로 평가된 해산물입니다. 전복에는 저지방 고단백식품으로 타우린, 메티오닌, 시스테인 등 황성분이 포함된 아미노산이 들어있어서 병후 원기회복, 간의 해독작용에 좋고, 성장을 돕고 상처를 잘 낫게하는 아연이 풍부해서 중급속인 납을 몸 밖으로 배출하는 디톡스식품이에요. 특히 전복껍질에 들어있는 성분은 눈의 노화속도를 둔화시키므로 구워서 곱게 갈아 꾸준히 먹으면 좋다고 합니다. 내장의 경우에는 해초성분이 농축되어 영양이 풍부하다고하니 전복은 버릴게 하나도 없는 보석같은 식품이네요~~ 저는 오늘.. 전복 장조림을 만들어보겠습니다.","[{'step_number': 1, 'description': '전복은 칫솔로 구석구석 뻘을 잘 닦아서 흐르는 물에 씻어놓습니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/14/7cc8f497cb1b561f02c0d50c4ba4b39f1.jpg'}, {'step_number': 2, 'description': '뚜껑이 위로 오도록 뒤집어서 끓는 물을 확~ 부어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/14/f4890f08047832b79f7f2c119787facf1.jpg'}, {'step_number': 3, 'description': '그리고는 숟가락으로 껍질과 전복을 분리시킵니다. 뜨거운 물을 뚜껑쪽에 붓거나 찜기에서 약 2~3분 정도 쪄주면몸통과 껍질이 쉽게 분리됩니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/14/061ad49195bedbefe27224521411d9751.jpg'}, {'step_number': 4, 'description': '그리고는 전복 뒷쪽에 있는 내장을 가위로 잘라주세요. 동그란 부분을 따라 돌아가며 자르면 됩니다. 암컷은 내장이 초록색, 수컷은 내장이 노란색입니다. 이 내장은 죽을 쑬 때 넣으시면 좋아요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/14/70e2f66f4c7f9c42241f39100a268dfc1.jpg'}, {'step_number': 5, 'description': '그리고 전복의 양쪽 끝부분 중에서 주름진 곳을칼로 꾹 누르면 이렇게 단단한 전복 이빨이 나옵니다. 요것도 제거해주세요~~', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/14/7deeae6a415c81ece7cd4ad1c7afe1e71.jpg'}, {'step_number': 6, 'description': '그리고나서 깨끗히 씻은 후, 몸통에 사선으로 촘촘하게 칼집을 내줍니다.이렇게 하면 양념도 잘 배어들고 부드러워서 먹기 좋아요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/14/99454633bd5ab02d2561b9a00b2c106e1.jpg'}, {'step_number': 7, 'description': '밤과 은행, 호두를 부재료로 준비했고요.향신재료로 통마늘과 통생강, 건고추, 통후추, 진간장과 청주, 흑설탕, 무, 다시마 육수를 준비했습니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/14/f90a8ad852e705e9ea24f00fd1d87da91.jpg'}, {'step_number': 8, 'description': '물 3컵에 무 한토막과 다시마를 적당량 넣고 잠시 끓인 후 체에 받혀 달큰한 무 다시마 육수를 1컵 반 준비합니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/14/e6ca4b17b86b2939be2c19e9d16bc9951.jpg'}, {'step_number': 9, 'description': '여기에 밤을 넣고 진간장과 청주, 통후추, 월계수잎과 슬라이스한 통마늘과 생강, 흑설탕을 넣고 잠시 끓여줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/14/f6a47e9d4282bb0630fb1ee30f17db981.jpg'}, {'step_number': 10, 'description': '밤이 어느 정도 익어가고 국물이 반 쯤 졸아들었으면 은행과 호두를 넣어 잠시 졸여주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/14/5a4cc178c78d2d4ef22aa0bceb0f67bb1.jpg'}, {'step_number': 11, 'description': '한 입 크기로 썬 전복을 넣어 약 2~3분 정도만 살짝 끓여준 다음 바로 불을 꺼줍니다. 전복은 오래 끓이면 오그라들면서 질겨집니다. 살짝만 끓여야 육질이 부드럽고요. 다 졸인 후 간장육수에 잠겨있어야 양념이 배어들어서 맛있어집니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/14/bcb593f89f495f48ab8b8d976f7cae651.jpg'}, {'step_number': 12, 'description': '국물이 잘박하니 남아있어야 합니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/14/e0b5ea14866ffcaa2cb13b9635b762e31.jpg'}]"
6150,밑반찬,일상,해물류,조림,No 생선 무조림,생선조림,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/17/6c43e67e0f249f0d05bf93b4cf766fa5.jpg,"26,666",30분 이내,초급,2인분,"[('무', '100g'), ('다시육수', '2컵'), ('간장', '2T'), ('고추가루', '1/2T'), ('통후추', '6알'), ('물엿', '1T')]",생선없이 무만 조려먹어도 그 맛이 일품인 무조림입니다.,"[{'step_number': 1, 'description': '무는 1cm두께로 썰어서 준비해주세요. 더 큰 사이즈로 잘라주셔도 됩니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/17/10ba02f23d0d4fc9fc0eb5393278679f1.jpg'}, {'step_number': 2, 'description': '자른 무는 냄비에 차곡차곡 쌓아주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/17/f5c1e25e4884660c39b0668210e19a2b1.jpg'}, {'step_number': 3, 'description': '(무, 표고버섯, 대파, 다시마, 멸치)를 넣고 끓인 다시육수에 간장을 넣고 섞어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/17/810c10cbaaa0b90e3d16a65c3f429f1a1.jpg'}, {'step_number': 4, 'description': '물엿과 청주 그리고 고추가루를 넣고 잘 섞어서 조림국물을 만들어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/17/694061089e12781d60343e9a2be244941.jpg'}, {'step_number': 5, 'description': '차곡차곡 쌓아놓은 무에 준비해두신 조림국물을 부어주시고 쎈불로 바글바글 끓여주세요. 육수가 약간 줄었다 싶으시면 중불로 불을 줄이셔서 중간중간 살펴보시면서 졸여주세요. 이때 가끔씩 뚜껑 열어서 확인해주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/17/d29c81c8cab74ed2917040031bef75d61.jpg'}, {'step_number': 6, 'description': '한가득이였던 육수가 다 졸아들고 무는 흰색에서 짙은 갈색으로 변했어요. 다 조린무는 접시에 올리시고 통깨와 실파 그리고 홍고추도 좀 썰어서 올려줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/17/7ad489d3da6ca4fa10e80c57bba956271.jpg'}]"
6151,밑반찬,일상,해물류,조림,애호박 갈치조림,애호박갈치조림,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/20/bad65af1c3fca77c4eef02ef73c67e641.jpg,"3,299",30분 이내,초급,2인분,"[('갈치', '3조각'), ('애호박', '1개'), ('당근 작은크기', '1개'), ('마늘', '5개'), ('멸치', ''), ('건새우', ''), ('대파', ''), ('된장', '2T'), ('고춧가루', '1T'), ('간장', '1T'), ('참기름', '1T'), ('올리브유', '1T')]",밥반찬으로 딱! 매콤한 갈치조림입니다.,"[{'step_number': 1, 'description': '된장 2T, 고추가루 1T, 간장 1T, 참기름 1T, 올리브유 1T를 넣고 먼저 양념장을 만들어 재료를 손질하는 동안에만 숙성시켜 줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/10/21/cf33e2ece5ba3939d921e1b35d6359481.jpg'}, {'step_number': 2, 'description': '키친타올로 갈치의 물기를 닦아 줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/10/21/20881d36886a58d1d738b4d8119eec5e1.jpg'}, {'step_number': 3, 'description': '마늘은 꼭지를 제거 합니다. 당근을 필러로 껍질을 벗긴 후 큼직하게 썰어 줍니다. 각진 모서리 부분을 다듬어 줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/10/21/8237dff9806e414944e668f70165db331.jpg'}, {'step_number': 4, 'description': '애호박은 양 끝 부분을 썬 후 당근과 비슷한 크기로 큼직하게 썰어 줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/10/21/cd45b310cb98adcc2c9af6ef04de77e71.jpg'}, {'step_number': 5, 'description': '물이 끓기 시작하면 육수재료를 넣어서 15분간 끓여 줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/10/21/b05c6adbb07df8e4947fccb10c4c6d351.jpg'}, {'step_number': 6, 'description': '육수재료를 체로 걸러낸 후 된장양념장을 풀어 줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/10/21/ace2e940948f07e414e6b0ce6bdbc5241.jpg'}, {'step_number': 7, 'description': '보글보글 끓기 시작하면 갈치, 마늘, 애호박, 당근을 넣어서 보글보글 끓여 줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/10/21/8f609972ba5ab86587ea6d01591d1a831.jpg'}, {'step_number': 8, 'description': '처음에는 쌘불로 끓여 줍니다. 국물이 졸여지는 것이 눈으로 보이면 중불로 끓여 줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/10/21/ee6308441e668003641c2caa7e9e6a5c1.jpg'}, {'step_number': 9, 'description': '마지막까지 양념장이 자작하게 졸여지면 애호박갈치조림 완성. 볶음참깨를 뿌려주면', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/10/21/1605c36692052809c80a98f4206df9701.jpg'}]"
6152,밑반찬,일상,해물류,조림,여름 보양식 전복 장조림,전복장조림,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/01/6a96c873cea52b9f37403392b5ee0f1a1.jpg,"5,708",60분 이내,초급,4인분,"[('전복', '10마리'), ('진간장', '1/2컵'), ('물', '1/2컵'), ('매실엑기스', '1/2컵')]",여름 보양식을 이용한 전복 장조림~~! 국물은 밥 비벼 먹어도 정말 맛있답니다.,"[{'step_number': 1, 'description': '전복은 수세미와 솔로 깨끗하게 닦아준다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/07/90b34edbf680a3f978465347dff54a121.jpg'}, {'step_number': 2, 'description': 'v 자형으로 칼집을 넣어 이빨을 제거하고, 손질된 전복은 흐르는 물로 깨끗하게 씻어 준비한다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/07/68a6c333beb7fb27fd7a701dc0b040b91.jpg'}, {'step_number': 3, 'description': '껍질째 잡고 칼집을 +자로 넣어준 다음 양념을 냄비에 붓고 전복을 넣어 끓여준다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/07/883eb81a14c3d81b8bd015c60cadf2ff1.jpg'}, {'step_number': 4, 'description': '껍질째 놓거나 껍질을 제거하고 썰어서 올리면 완성!', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/07/edcc13a5a88d705d0f6c1c05037b23ef1.jpg'}]"
6153,밑반찬,일상,해물류,조림,갈치포조림 - 딸에게# / 갈치포조림만드는법,None,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/19/4e867224e4ad4cf237c1a91aa4fd1e551.jpg,"10,058",None,None,None,"[('갈치 포', '4마리'), ('양파', '1개'), ('간장', '1/2컵'), ('대파', '1/2대'), ('다진마늘', '1T'), ('고추가루', '2T'), ('미림', '1T'), ('식용유', '1T'), ('조청', '1T'), ('고추장', '1T'), ('생강가루', '1/2')]",,[]
6154,밑반찬,일상,해물류,조림,부드러운 갈치 무 조림,None,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/05/9555be990aac27c51482167806811aa6.jpg,"16,234",None,None,None,[],,[]
6155,밑반찬,일상,해물류,조림,감자고등어조림 만드는법,감자고등어조림,https://recipe1.ezmember.co.kr/cache/recipe/2015/03/26/e398970a83a1c4755f1925dc0d5976ef1.jpg,"29,159",None,None,None,"[('고등어', '2마리'), ('대파', '1대'), ('청양고추', '1개'), ('감자 작은것', '4개'), ('양파', '2개'), ('멸치육수', '80ml'), ('고춧가루', '1.5큰술'), ('간장', '2큰술'), ('다진마늘', '1큰술'), ('청주', '1큰술'), ('매실액', '1큰술'), ('생강즙', '1큰술'), ('후춧가루', '조금')]","양념이 감자까지 제대로 스며들어 짭쪼름하니 아주 맛있는 감자고등어조림이 만들어졌어요 ~ 
여름철 입맛 없을때 만들어 먹으면 아주 맛나네요 ~","[{'step_number': 1, 'description': '감자는 두툼한 크기로 잘라 물에담궈 전분기를 빼줍니다... 조림을 할거라 오래 조려도 쉽게 달라붙지 않아요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/03/26/6b568150839012537f4f316ffc8e6e5f1.jpg'}, {'step_number': 2, 'description': '감자위에 양념장을 골고루 넣고, 고등어를 올린뒤 남은 양념장을 넣고 바닥에 멸치육수나 물을 넣고 청양고추도 함께 넣고 센불에서 끓여줍니다', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/03/26/a3242ccea471c2d552b0d873af663bd21.jpg'}, {'step_number': 3, 'description': '바닥이 전체적으로 끓어 오르면 중불 - 약불로 거쳐 감자가 익을때 까지 조려줍니다', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/03/26/595190035f21612faa89832b022a94be1.jpg'}, {'step_number': 4, 'description': '마지막에 대파를 넣고 조금더 조려준후 마무리 ~', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/03/26/9d67c24cf468cb06785675093c82186b1.jpg'}, {'step_number': 5, 'description': '양념이 감자까지 제대로 스며들어 짭쪼름하니 아주 맛있는 감자고등어조림이 만들어졌어요 ~', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/03/26/aadf8b602d73cff0c4cb3afdd4996b081.jpg'}, {'step_number': 6, 'description': '짭쪼름하니 맛있는 고등어조림으로 맛있는 밥상 차려 보세요 ~~', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/03/26/074c68fe3a0a5e1546e177a7fb36495e1.jpg'}]"
